tanggal,stasiun,pm10,so2,co,o3,no2,categori
1/1/2020,DKI1 (Bunderan HI),30,20,10,32,9,BAIK
1/2/2020,DKI1 (Bunderan HI),27,22,12,29,8,BAIK
1/3/2020,DKI1 (Bunderan HI),39,22,14,32,10,BAIK
1/4/2020,DKI1 (Bunderan HI),34,22,14,38,10,BAIK
1/5/2020,DKI1 (Bunderan HI),35,22,12,31,9,BAIK
1/6/2020,DKI1 (Bunderan HI),46,23,16,32,9,BAIK
1/7/2020,DKI1 (Bunderan HI),37,23,26,33,11,BAIK
1/8/2020,DKI1 (Bunderan HI),41,26,20,30,11,BAIK
1/9/2020,DKI1 (Bunderan HI),52,23,29,24,12,SEDANG
1/10/2020,DKI1 (Bunderan HI),24,24,18,25,8,BAIK
1/11/2020,DKI1 (Bunderan HI),34,31,25,23,8,BAIK
1/12/2020,DKI1 (Bunderan HI),27,23,9,33,4,BAIK
1/13/2020,DKI1 (Bunderan HI),33,26,12,36,8,BAIK
1/14/2020,DKI1 (Bunderan HI),34,28,13,27,7,BAIK
1/15/2020,DKI1 (Bunderan HI),29,22,13,36,8,BAIK
1/16/2020,DKI1 (Bunderan HI),52,60,19,30,8,SEDANG
1/17/2020,DKI1 (Bunderan HI),51,34,21,74,20,SEDANG
1/18/2020,DKI1 (Bunderan HI),37,29,14,31,6,BAIK
1/19/2020,DKI1 (Bunderan HI),61,34,36,58,15,SEDANG
1/20/2020,DKI1 (Bunderan HI),47,30,15,33,9,BAIK
1/21/2020,DKI1 (Bunderan HI),30,36,14,26,9,BAIK
1/22/2020,DKI1 (Bunderan HI),40,36,18,28,15,BAIK
1/23/2020,DKI1 (Bunderan HI),41,32,27,19,18,BAIK
1/24/2020,DKI1 (Bunderan HI),44,21,24,16,13,BAIK
1/25/2020,DKI1 (Bunderan HI),27,27,31,27,12,BAIK
1/26/2020,DKI1 (Bunderan HI),44,16,51,49,11,SEDANG
1/27/2020,DKI1 (Bunderan HI),25,14,21,39,13,BAIK
1/28/2020,DKI1 (Bunderan HI),63,15,27,40,17,SEDANG
1/29/2020,DKI1 (Bunderan HI),49,11,23,38,19,BAIK
1/30/2020,DKI1 (Bunderan HI),38,12,21,35,20,BAIK
