date,Location,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,pm10,so2,co,o3,no2,categori
1/3/2020,DKI Jakarta,4,10,-11,6,6,0,2,0,0,2,39,20,75,-56,51.28%,192.31%,,,45,5,13,28,8,BAIK
2/3/2020,DKI Jakarta,6,24,5,5,6,-1,2,0,0,2,41,20,75,-54,48.78%,182.93%,1,1,34,5,15,32,10,BAIK
3/3/2020,DKI Jakarta,3,17,-1,3,5,0,2,0,0,2,43,20,75,-52,46.51%,174.42%,1,1,59,5,23,29,14,SEDANG
4/3/2020,DKI Jakarta,-2,4,-8,1,4,1,2,0,0,2,45,20,75,-50,44.44%,166.67%,1,1,56,7,19,55,16,SEDANG
5/3/2020,DKI Jakarta,3,8,1,4,5,0,0,1,0,-1,45,21,75,-51,46.67%,166.67%,0,,35,6,16,30,13,BAIK
6/3/2020,DKI Jakarta,10,11,19,5,8,0,0,0,0,0,45,21,75,-51,46.67%,166.67%,1,0,36,10,19,33,16,BAIK
7/3/2020,DKI Jakarta,4,12,15,6,7,-1,0,2,0,-2,45,23,75,-53,51.11%,166.67%,1,,37,7,17,28,17,BAIK
8/3/2020,DKI Jakarta,0,6,1,3,6,0,0,0,0,0,45,23,75,-53,51.11%,166.67%,1,0,45,7,16,39,11,BAIK
9/3/2020,DKI Jakarta,3,6,7,3,5,1,0,1,0,-1,45,24,75,-54,53.33%,166.67%,1,,39,6,12,19,11,BAIK
10/3/2020,DKI Jakarta,1,6,2,3,4,1,0,0,0,0,45,24,75,-54,53.33%,166.67%,1,0,30,5,12,33,11,BAIK
11/3/2020,DKI Jakarta,1,3,3,2,4,1,0,0,0,0,45,24,75,-54,53.33%,166.67%,1,1,40,5,15,38,13,BAIK
12/3/2020,DKI Jakarta,-3,-2,-7,1,3,2,2,1,4,-3,47,25,79,-57,53.19%,168.09%,,,48,5,19,39,20,BAIK
13/03/2020,DKI Jakarta,8,9,16,2,5,1,4,1,3,0,51,26,82,-57,50.98%,160.78%,2,1,34,4,17,36,12,BAIK
14/03/2020,DKI Jakarta,-12,2,-17,-8,5,2,2,1,1,0,53,27,83,-57,50.94%,156.60%,0.5,1,64,6,19,87,17,SEDANG
15/03/2020,DKI Jakarta,-20,3,-37,-19,5,4,8,3,0,5,61,30,83,-52,49.18%,136.07%,4,3,50,3,17,42,13,BAIK
16/03/2020,DKI Jakarta,-18,-5,-23,-18,-10,7,2,3,0,-1,63,33,83,-53,52.38%,131.75%,0.25,1,50,4,20,36,19,BAIK
17/03/2020,DKI Jakarta,-16,3,-23,-27,-15,8,2,1,0,1,65,34,83,-52,52.31%,127.69%,1,0.33,41,4,21,57,15,SEDANG
18/03/2020,DKI Jakarta,-22,-3,-28,-32,-19,11,1,1,0,0,66,35,83,-52,53.03%,125.76%,0.5,1,44,3,15,54,12,SEDANG
19/03/2020,DKI Jakarta,-28,-12,-33,-38,-21,12,2,0,1,1,68,35,84,-51,51.47%,123.53%,2,0,62,7,26,37,14,SEDANG
20/03/2020,DKI Jakarta,-30,-11,-32,-42,-23,15,5,3,1,1,73,38,85,-50,52.05%,116.44%,2.5,,48,4,12,51,14,SEDANG
21/03/2020,DKI Jakarta,-35,-5,-38,-40,-10,11,8,3,6,-1,81,41,91,-51,50.62%,112.35%,1.6,1,43,6,15,37,17,BAIK
22/03/2020,DKI Jakarta,-49,-22,-59,-49,-12,14,2,0,3,-1,83,41,94,-52,49.40%,113.25%,0.25,0,34,4,7,42,9,BAIK
23/03/2020,DKI Jakarta,-40,-19,-43,-53,-34,18,0,0,0,0,83,41,94,-52,49.40%,113.25%,0,1,40,4,12,66,13,SEDANG
24/03/2020,DKI Jakarta,-43,-18,-46,-56,-40,19,16,19,3,-6,99,60,97,-58,60.61%,97.98%,,,58,4,20,54,17,SEDANG
25/03/2020,DKI Jakarta,-54,-29,-55,-69,-69,28,1,1,0,0,100,61,97,-58,61.00%,97.00%,0.06,0.05,33,3,7,63,8,SEDANG
26/03/2020,DKI Jakarta,-47,-24,-46,-60,-43,20,57,2,0,55,157,63,97,-3,40.13%,61.78%,57,2,49,4,10,42,10,BAIK
27/03/2020,DKI Jakarta,-46,-17,-43,-61,-44,22,74,7,6,61,231,70,103,58,30.30%,44.59%,1.3,3.5,43,4,9,62,10,SEDANG
28/03/2020,DKI Jakarta,-54,-21,-51,-58,-31,17,48,9,9,30,279,79,112,88,28.32%,40.14%,0.65,1.29,58,6,12,67,14,SEDANG
29/03/2020,DKI Jakarta,-59,-28,-63,-60,-26,17,52,10,0,42,331,89,112,130,26.89%,33.84%,1.08,1.11,61,7,7,56,8,SEDANG
30/03/2020,DKI Jakarta,-51,-26,-50,-63,-45,22,33,7,0,26,364,96,112,156,26.37%,30.77%,0.63,0.7,47,6,9,68,12,SEDANG
31/03/2020,DKI Jakarta,-50,-21,-52,-62,-47,22,44,10,0,34,408,106,112,190,25.98%,27.45%,1.33,1.43,51,11,9,84,10,SEDANG
1/4/2020,DKI Jakarta,-47,-16,-49,-62,-47,21,59,1,0,58,467,107,112,248,22.91%,23.98%,1.34,0.1,38,6,12,67,10,SEDANG
2/4/2020,DKI Jakarta,-48,-19,-46,-63,-47,22,70,5,2,63,537,112,114,311,20.86%,21.23%,1.19,5,32,4,6,33,7,BAIK
3/4/2020,DKI Jakarta,-47,-19,-44,-63,-46,23,71,6,2,63,608,118,116,374,19.41%,19.08%,1.01,1.2,30,5,4,33,5,BAIK
4/4/2020,DKI Jakarta,-53,-21,-52,-60,-34,18,57,8,5,44,665,126,121,418,18.95%,18.20%,0.8,1.33,42,6,8,47,7,BAIK
5/4/2020,DKI Jakarta,-57,-27,-64,-62,-28,17,87,11,2,74,752,137,123,492,18.22%,16.36%,1.53,1.38,50,4,6,63,8,SEDANG
6/4/2020,DKI Jakarta,-50,-30,-52,-63,-44,22,103,7,7,89,855,144,130,581,16.84%,15.20%,1.18,0.64,45,4,8,37,9,BAIK
7/4/2020,DKI Jakarta,-47,-18,-48,-62,-46,21,113,14,3,96,968,158,133,677,16.32%,13.74%,1.1,2,26,3,11,35,9,BAIK
8/4/2020,DKI Jakarta,-48,-23,-51,-63,-46,22,90,8,5,77,1058,166,138,754,15.69%,13.04%,0.8,0.57,26,5,5,31,7,BAIK
9/4/2020,DKI Jakarta,-47,-17,-48,-61,-45,20,228,34,5,189,1286,200,143,943,15.55%,11.12%,2.53,4.25,36,3,5,27,10,BAIK
